#{"t_start": 1748223430.7390492, "env_id": "None"}
r,l,t
-4.9,21,46.58447
-5.4,21,46.738118
-5.8,21,46.900884
-1.2,21,47.054531
-2.8,21,47.201672
-2.7,21,47.370951
-3.6,21,47.524595
-6.3,21,47.671736
-8.3,21,47.841013
-7.8,21,48.00378
-8.3,21,48.1618
-1.3,21,48.381761
-7.4,21,48.543558
-5.5,21,48.707685
-7.1,21,48.881335
-12.6,21,49.034118
-6.2,21,49.218744
-3.4,21,49.388494
-8.3,21,49.555312
-3.6,21,49.741563
-4.0,21,49.909301
-4.3,21,50.07575
-4.3,21,50.228637
-6.3,21,50.391438
-8.8,21,50.54507
-11.6,21,50.707836
-15.2,21,50.892735
-7.8,21,51.062007
-8.3,21,52.125424
-3.8,21,52.305098
-4.5,21,52.452239
-5.7,21,52.621511
-7.5,21,52.790786
-6.9,21,52.969178
-6.1,21,53.122825
-5.8,21,53.292099
-7.4,21,53.439239
-6.5,21,53.608512
-11.5,21,53.755656
-7.0,21,53.909302
-3.0,21,54.078574
-6.7,21,54.225719
-9.8,21,54.379365
-4.4,21,54.595516
-3.6,21,54.880679
-8.8,21,55.043449
-3.5,21,55.197096
-4.8,21,55.460125
-5.1,21,55.613772
-8.9,21,55.77654
-4.2,21,55.930185
-5.3,21,56.08383
-5.4,21,56.246598
-4.9,21,56.400244
-3.6,21,56.547385
-2.7,21,56.701029
-6.7,21,56.863796
-6.0,21,57.017443
-10.4,21,57.164584
-4.3,21,57.333857
-5.5,21,57.487502
-9.8,21,57.65027
-3.7,21,57.803917
-9.4,21,57.966683
-7.5,21,58.120329
-6.1,21,58.304829
-1.9,21,58.467595
-9.1,21,58.636866
-7.4,21,58.790511
-4.8,21,58.937653
-7.0,21,59.106924
-6.1,21,59.254066
-10.7,21,59.438963
-9.8,21,59.608236
-4.3,21,59.755377
-4.8,21,59.924648
-8.6,21,60.093921
-9.0,21,60.256532
-7.7,21,60.410115
-3.8,21,60.557256
-6.2,21,60.726533
-4.5,21,60.8893
-6.8,21,61.056573
-2.2,21,61.228101
-4.3,21,61.390896
-3.0,21,61.544542
-5.4,21,61.791676
-4.3,21,61.94532
-10.3,21,62.130224
-5.4,21,62.299494
-6.5,21,62.446636
-4.3,21,62.615915
-5.9,21,62.77868
-2.7,21,62.932325
-3.7,21,63.101598
-1.9,21,63.264368
-5.4,21,63.449267
-6.4,21,63.602914
-4.9,21,63.765685
-5.7,21,63.919329
-10.7,21,64.066472
-3.4,21,64.235741
-11.7,21,64.436264
-5.2,21,64.599032
-7.9,21,64.752685
-6.1,21,64.906329
-5.7,21,65.069097
-6.1,21,65.222743
-5.1,21,65.369883
-8.9,21,65.539157
-8.5,21,65.6863
-4.9,21,65.839945
-7.5,21,66.002712
-3.7,21,66.240999
-11.1,21,66.425898
-6.6,21,66.57304
-1.9,21,66.726686
-6.2,21,66.889452
-5.0,21,67.043097
-4.2,21,67.212368
-7.8,21,67.359509
-6.8,21,67.544408
-9.9,21,67.713679
-4.5,21,67.86082
-3.9,21,68.014463
-8.0,21,68.177238
-4.9,21,69.239277
-3.8,21,69.397575
-6.9,21,69.561468
-2.0,21,69.715116
-3.1,21,69.868759
-8.0,21,70.031526
-6.6,21,70.185172
-10.6,21,70.385696
-2.2,21,70.548462
-5.4,21,70.702112
-5.3,21,70.864877
-6.5,21,71.018522
-2.5,21,71.17217
-6.0,21,71.334937
-6.3,21,71.488582
-3.4,21,71.651349
-7.6,21,71.836249
-1.9,21,71.989894
-6.7,21,72.15266
-9.2,21,72.306305
-4.2,21,72.469074
-3.8,21,72.622719
-8.8,21,72.776365
-5.3,21,72.939133
-1.9,21,73.092777
-2.3,21,73.239919
-8.2,21,73.409191
-2.3,21,73.556332
-8.7,21,73.709979
-5.2,21,73.879249
-2.8,21,74.026391
-4.8,21,74.180037
-7.6,21,74.342805
-5.8,21,74.496451
-6.2,21,74.659219
-4.6,21,74.828494
-7.1,21,74.982139
-6.4,21,75.129281
-5.1,21,75.282926
-6.7,21,75.445694
-6.3,21,75.599339
-5.2,21,75.762106
-3.8,21,75.915752
-5.0,21,76.078519
-5.1,21,76.232166
-6.9,21,76.417062
-5.0,21,76.586333
-2.6,21,76.749102
-5.1,21,76.902748
-6.3,21,77.049889
-9.7,21,77.203533
-6.3,21,77.38843
-6.0,21,77.551198
-6.2,21,77.704842
-9.1,21,77.889739
-4.0,21,78.03688
-5.5,21,78.190525
-3.8,21,78.368918
-8.9,21,78.842173
-7.0,21,79.002518
-4.9,21,79.152843
-7.1,21,79.308841
-9.3,21,79.471606
-4.8,21,79.625254
-5.7,21,79.841402
-6.0,21,79.995047
-3.9,21,80.195571
-5.7,21,80.342712
-8.5,21,80.496356
-5.2,21,80.659123
-4.9,21,80.812769
-5.1,21,80.975536
-4.1,21,81.129182
-9.1,21,81.29845
-4.9,21,81.445592
-0.4,21,81.599239
-6.2,21,81.76201
-4.1,21,81.91566
-4.9,21,82.078427
-9.7,21,82.232074
-3.8,21,82.416971
-5.9,21,82.579738
-6.0,21,82.733385
-11.1,21,82.902655
-4.4,21,83.049797
-5.5,21,83.219069
-10.3,21,83.381836
-3.7,21,83.535484
-6.9,21,83.69825
-6.7,21,83.867522
-0.2,21,84.021168
-5.9,21,84.183937
-3.5,21,84.337586
-6.9,21,84.484726
-6.4,21,84.654004
-6.7,21,84.807647
-2.7,21,84.954791
